traceCompVal;sizeOfUncertainty;scenario;canBeTurnedOff;rate
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
2518;0.941088812;1;0;0.1
43935;1.000000000;1;0;0.1
32;0.948793637;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
79;0.613324279;1;0;0.1
67;0.956582550;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
8;0.817205098;1;0;0.1
43935;1.000000000;1;0;0.1
11;0.800902952;1;0;0.1
2518;0.780994654;1;0;0.1
2518;0.924897126;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
2518;0.812536185;1;0;0.1
1323;0.718467358;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
2518;0.890930144;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
43935;1.000000000;1;0;0.1
18;0.834271849;1;0;0.1
