,strategy,rate,iteration,total_correctness,avg_correctness
317,2,30,32,6723.490793577039,172.3971998353087
318,2,30,37,0,0.0
319,2,30,38,0,0.0
320,2,30,35,0,0.0
321,2,30,4,0,0.0
322,2,30,40,0,0.0
323,2,30,43,0,0.0
324,2,30,42,0,0.0
325,2,30,36,0,0.0
326,2,30,44,0,0.0
327,2,30,13,2375.8838697501114,4.280871837387588
328,2,30,46,0,0.0
329,2,30,41,0,0.0
330,2,30,45,0,0.0
331,2,30,47,0,0.0
332,2,30,49,0,0.0
333,2,30,29,0,0.0
334,2,30,3,0,0.0
335,2,30,48,26001.058419276254,619.0728195065775
336,2,30,17,0,0.0
337,2,30,51,0,0.0
338,2,30,22,0,0.0
339,2,30,53,0,0.0
340,2,30,52,0,0.0
341,2,30,55,0,0.0
342,2,30,58,0,0.0
343,2,30,54,0,0.0
344,2,30,59,0,0.0
345,2,30,6,0,0.0
346,2,30,61,0,0.0
347,2,30,56,0,0.0
348,2,30,63,0,0.0
349,2,30,60,22763.61135345129,284.54514191814116
350,2,30,66,0,0.0
351,2,30,68,0,0.0
352,2,30,67,0,0.0
353,2,30,39,0,0.0
354,2,30,5,0,0.0
355,2,30,57,104263.55492832387,560.5567469264724
356,2,30,7,0,0.0
357,2,30,65,25270.350710945582,268.83351820154877
358,2,30,62,34759.0832338351,257.4746906210008
359,2,30,72,0,0.0
360,2,30,71,0,0.0
361,2,30,64,0,0.0
362,2,30,77,1645.4525697852123,822.7262848926061
363,2,30,76,24008.556300696167,666.9043416860046
364,2,30,79,0,0.0
365,2,30,75,0,0.0
366,2,30,80,0,0.0
367,2,30,83,0,0.0
368,2,30,8,0,0.0
369,2,30,84,0,0.0
370,2,30,86,0,0.0
371,2,30,82,0,0.0
372,2,30,87,0,0.0
373,2,30,88,0,0.0
374,2,30,85,0,0.0
375,2,30,9,0,0.0
376,2,30,90,0,0.0
377,2,30,74,110724.05839596894,442.89623358387576
378,2,30,92,0,0.0
379,2,30,94,0,0.0
380,2,30,96,0,0.0
381,2,30,97,0,0.0
382,2,30,95,0,0.0
383,2,30,98,0,0.0
384,2,30,27,332329.9981712742,283.0749558528741
385,2,30,99,0,0.0
386,2,40,100,0,0.0
387,2,40,10,0,0.0
388,2,40,11,0,0.0
389,2,30,89,347566.49828045606,1336.7942241556002
390,2,40,15,0,0.0
391,2,40,14,0,0.0
392,2,30,50,118555.8115845659,132.7612671719663
393,2,30,73,6573.947920938602,11.635306054758587
394,2,30,91,0,0.0
395,2,30,70,0,0.0
396,2,40,1,0,0.0
397,2,30,81,0,0.0
398,2,40,18,0,0.0
399,2,40,19,0,0.0
400,2,40,17,3352.70882599748,68.42262910198939
401,2,40,21,0,0.0
402,2,40,22,0,0.0
403,2,40,24,0,0.0
404,2,40,23,0,0.0
405,2,40,13,131169.11824440627,868.6696572477236
406,2,40,25,0,0.0
407,2,40,26,0,0.0
408,2,40,28,0,0.0
409,2,40,20,0,0.0
410,2,30,93,110724.05839596894,291.37910104202354
411,2,40,3,0,0.0
412,2,40,30,4443.121077269474,634.7315824670677
413,2,40,2,55074.732858702,314.7127591925829
414,2,40,33,0,0.0
415,2,40,34,0,0.0
416,2,40,32,0,0.0
417,2,40,29,0,0.0
418,2,40,35,0,0.0
419,2,40,16,110724.05839596894,416.25585863146216
420,2,30,69,76761.98152460132,84.4466243394954
421,2,40,36,0,0.0
422,2,40,37,0,0.0
423,2,40,38,0,0.0
424,2,40,27,61551.330733788825,379.9464860110421
425,2,40,39,0,0.0
426,2,40,40,0,0.0
427,2,40,44,0,0.0
428,2,40,4,28651.533675755087,345.1992009127119
429,2,40,45,0,0.0
430,2,40,47,0,0.0
431,2,40,41,0,0.0
432,2,40,52,0,0.0
433,2,30,78,0,0.0
434,2,40,50,25270.350710945582,300.8375084636379
435,2,40,54,0,0.0
436,2,40,55,0,0.0
437,2,40,56,0,0.0
438,2,40,57,0,0.0
439,2,40,5,89029.74325640427,659.4795796770686
440,2,40,58,0,0.0
441,2,40,59,0,0.0
442,2,40,60,0,0.0
443,2,40,61,12192.390757984862,1354.7100842205402
444,2,40,48,147086.94417498552,534.8616151817655
445,2,40,66,0,0.0
446,2,40,65,0,0.0
447,2,40,64,0,0.0
448,2,40,68,0,0.0
449,2,40,53,44833.62813554013,237.2149636801065
450,2,40,67,0,0.0
451,2,40,42,0,0.0
452,2,40,7,0,0.0
453,2,40,46,0,0.0
454,2,40,70,0,0.0
455,2,40,71,0,0.0
456,2,40,75,0,0.0
457,2,40,74,0,0.0
458,2,40,62,2585.2796806408433,10.341118722563373
459,2,40,79,0,0.0
460,2,40,81,0,0.0
461,2,40,73,41985.377354631586,289.5543265836661
462,2,40,80,0,0.0
463,2,40,84,0,0.0
464,2,40,85,0,0.0
465,2,40,31,0,0.0
466,2,40,83,0,0.0
467,2,40,86,25270.350710945582,1010.8140284378233
468,2,40,76,126050.05668046785,589.0189564507843
469,2,40,89,25270.350710945582,1010.8140284378233
470,2,40,91,0,0.0
471,2,40,88,67898.59363583317,893.4025478399101
472,2,40,6,6573.947920938602,11.513043644375834
473,2,40,72,0,0.0
474,2,40,78,0,0.0
475,2,40,9,0,0.0
476,2,40,87,0,0.0
477,2,40,8,0,0.0
478,2,40,92,2068.7483169394886,31.34467146878013
479,2,40,97,0,0.0
480,2,40,49,0,0.0
481,2,40,99,0,0.0
482,2,40,95,0,0.0
483,2,40,96,0,0.0
484,2,50,1,0,0.0
485,2,50,10,2491.3612196117924,498.2722439223585
486,2,40,77,147086.94417498552,349.3751643111295
487,2,50,11,1645.4525697852123,822.7262848926061
488,2,40,93,0,0.0
489,2,50,13,1645.4525697852123,822.7262848926061
490,2,50,15,0,0.0
491,2,50,12,0,0.0
492,2,40,82,0,0.0
493,2,50,17,0,0.0
494,2,50,19,17170.257440622358,1320.7890338940274
495,2,50,18,0,0.0
496,2,50,16,0,0.0
497,2,40,90,0,0.0
498,2,50,14,0,0.0
499,2,50,2,0,0.0
500,2,50,100,0,0.0
501,2,50,23,0,0.0
502,2,50,20,0,0.0
503,2,50,21,0,0.0
504,2,40,69,213774.18658670897,302.79629828145744
505,2,50,26,0,0.0
506,2,50,24,0,0.0
507,2,50,25,0,0.0
508,2,40,98,0,0.0
509,2,50,22,0,0.0
510,2,50,29,0,0.0
511,2,50,31,0,0.0
512,2,50,30,1645.4525697852123,71.54141607761792
513,2,50,35,0,0.0
514,2,50,34,0,0.0
515,2,50,39,0,0.0
516,2,50,4,0,0.0
517,2,50,33,25270.350710945582,268.83351820154877
518,2,50,40,0,0.0
519,2,50,32,22763.61135345129,194.56078079872898
520,2,50,37,0,0.0
521,2,50,36,19239.00575756185,243.53171845014998
522,2,50,38,0,0.0
523,2,50,43,0,0.0
524,2,50,41,2491.3612196117924,56.621845900268006
525,2,50,46,0,0.0
526,2,50,44,2491.3612196117924,56.621845900268006
527,2,50,49,12192.390757984862,1354.7100842205402
528,2,50,48,25270.350710945582,1010.8140284378233
529,2,50,45,0,0.0
530,2,50,50,0,0.0
531,2,50,51,17170.257440622358,1320.7890338940274
532,2,50,5,56276.08713035874,987.29977421682
533,2,50,3,0,0.0
534,2,50,52,0,0.0
