,strategy,rate,iteration,total_correctness,avg_correctness
138,3,10,45,4865.990013900981,21.72316970491509
139,3,10,46,33184.74728070235,31.604521219716524
140,3,10,47,32051.287137555155,291.3753376141378
141,3,10,48,27387.946936617212,182.58631291078143
142,3,10,49,0.0,0.0
143,3,10,5,0.0,0.0
144,3,10,50,0.0,0.0
145,3,10,51,0.0,0.0
146,3,10,52,0.0,0.0
147,3,10,53,0.0,0.0
148,3,10,54,0.0,0.0
149,3,10,55,0.0,0.0
150,3,10,56,10603.297616362157,74.67110997438138
151,3,10,57,0.0,0.0
152,3,10,58,0.0,0.0
153,3,10,59,0.0,0.0
154,3,10,6,0.0,0.0
155,3,10,60,13427.966094559302,59.94627720785403
156,3,10,61,5879.186757764989,26.246369454307988
157,3,10,62,0.0,0.0
158,3,10,63,0.0,0.0
159,3,10,64,141597.25876162024,138.68487635810013
160,3,10,65,3177.1849603439805,10.382957386745034
161,3,10,66,0.0,0.0
162,3,10,67,0.0,0.0
163,3,10,68,0.0,0.0
164,3,10,69,0.0,0.0
165,3,10,7,0.0,0.0
166,3,10,70,29893.437886875538,210.51716821743335
167,3,10,71,0.0,0.0
168,3,10,72,46950.037322970056,153.43149451950998
169,3,10,73,0.0,0.0
170,3,10,74,0.0,0.0
171,3,10,75,0.0,0.0
172,3,10,76,0.0,0.0
173,3,10,77,0.0,0.0
174,3,10,78,0.0,0.0
175,3,10,79,142806.1369476506,136.0058447120482
176,3,10,8,0.0,0.0
177,3,10,80,16252.485031268774,21.217343382857408
178,3,10,81,420617.06072340155,545.5474198747102
179,3,10,82,108021.94147473057,176.5064403181872
180,3,10,83,69230.6582825818,141.86610303807745
181,3,10,84,0.0,0.0
182,3,10,85,33771.983325265406,47.56617369755691
183,3,10,86,0.0,0.0
184,3,10,87,0.0,0.0
185,3,10,88,2481.2403872094965,2.3630860830566633
186,3,10,89,6780.190505826125,130.38827895819472
187,3,10,9,0.0,0.0
188,3,10,90,0.0,0.0
189,3,10,91,0.0,0.0
190,3,10,92,30513.63049196854,42.97694435488527
191,3,10,93,0.0,0.0
192,3,10,94,0.0,0.0
193,3,10,95,0.0,0.0
194,3,10,96,0.0,0.0
195,3,10,97,29382.502792468185,38.35835873690364
196,3,10,98,9242.949750590447,440.1404643138308
197,3,10,99,0.0,0.0
198,3,20,1,31109.710521237204,58.04050470380076
199,3,20,10,139039.94471422146,132.4189949659252
200,3,20,100,0.0,0.0
201,3,20,11,15636.859006704171,69.80740627992934
202,3,20,12,0.0,0.0
203,3,20,13,0.0,0.0
204,3,20,14,62390.666803669825,394.87763799791026
205,3,20,15,221675.84135014933,217.11639701287888
206,3,20,16,55249.94817834832,131.23503130249009
207,3,20,17,114345.25621349666,89.96479639142144
208,3,20,18,73245.05708716267,69.7571972258692
209,3,20,19,58001.35368374402,460.32820383923826
210,3,20,2,0.0,0.0
211,3,20,20,0.0,0.0
212,3,20,21,6653.907338326608,127.95975650628091
213,3,20,22,124699.45787369797,71.83148495028685
214,3,20,23,0.0,0.0
215,3,20,24,10909.91153476173,66.52385082171787
216,3,20,25,70837.6956011795,498.85701127591193
217,3,20,26,0.0,0.0
218,3,20,27,0.0,0.0
219,3,20,28,0.0,0.0
220,3,20,29,69409.71504956014,90.61320502553542
221,3,20,3,23064.425195668347,58.243497968859465
222,3,20,30,243870.2143091721,468.08102554543586
223,3,20,31,433385.49110229284,249.64602022021478
224,3,20,32,23502.655987968687,301.316102409855
225,3,20,33,19471.515658040764,107.57743457481085
226,3,20,34,0.0,0.0
227,3,20,35,19403.527262215004,122.80713457098103
228,3,20,36,0.0,0.0
229,3,20,37,29893.437886875538,210.51716821743335
230,3,20,38,0.0,0.0
231,3,20,39,0.0,0.0
232,3,20,4,8184.99548693531,104.93583957609371
233,3,20,40,340140.86180148355,414.3006842892613
234,3,20,41,193585.338948631,184.36698947488665
235,3,20,42,0.0,0.0
236,3,20,43,0.0,0.0
237,3,20,44,0.0,0.0
238,3,20,45,0.0,0.0
239,3,20,46,57548.55288658821,81.05429984026509
240,3,20,47,29653.233473328473,55.3231967785979
241,3,20,48,0.0,0.0
242,3,20,49,59881.73056632747,122.7084642752612
243,3,20,5,0.0,0.0
244,3,20,50,126018.52831130006,258.2346891625001
245,3,20,51,100663.49510533447,275.0368718724986
246,3,20,52,80836.50534410276,113.85423287901797
247,3,20,53,58001.35368374402,460.32820383923826
248,3,20,54,10603.297616362157,74.67110997438138
249,3,20,55,0.0,0.0
250,3,20,56,19471.515658040764,107.57743457481085
251,3,20,57,8066.010603535744,6.03743308647885
252,3,20,58,122210.60542264968,116.39105278347589
253,3,20,59,75057.88253064943,205.07618177773068
254,3,20,6,4716.213484991289,224.58159452339473
255,3,20,60,162877.63171530236,375.2940822933234
256,3,20,61,83775.38985680226,109.36734968250947
257,3,20,62,19403.527262215004,122.80713457098103
258,3,20,63,0.0,0.0
259,3,20,64,8184.99548693531,104.93583957609371
260,3,20,65,0.0,0.0
261,3,20,66,58587.363210385796,191.46197127577057
262,3,20,67,2222.7780995841526,44.455561991683055
263,3,20,68,18697.683992537684,114.010268247181
264,3,20,69,0.0,0.0
265,3,20,7,0.0,0.0
266,3,20,70,50435.96412499653,71.03656919013595
267,3,20,71,552575.8119287338,91.77475700527053
268,3,20,72,0.0,0.0
269,3,20,73,0.0,0.0
270,3,20,74,25081.321349104866,35.32580471704911
271,3,20,75,0.0,0.0
272,3,20,76,78960.05861718558,526.4003907812372
273,3,20,77,0.0,0.0
274,3,20,78,366758.8751197402,60.91328269718323
275,3,20,79,11639.990789549114,554.2852756928149
276,3,20,8,0.0,0.0
277,3,20,80,152815.01476430954,25.380337944578898
278,3,20,81,46950.037322970056,153.43149451950998
279,3,20,82,0.0,0.0
280,3,20,83,27020.90510329618,375.2903486568914
281,3,20,84,0.0,0.0
282,3,20,85,55249.94817834832,131.23503130249009
283,3,20,86,22936.91703054077,42.79275565399398
284,3,20,87,149932.18896353824,146.8483731278533
285,3,20,88,0.0,0.0
286,3,20,89,44883.55386900818,106.61176690975815
287,3,20,9,15856.129187689243,125.84229514039082
288,3,20,90,23502.655987968687,301.316102409855
289,3,20,91,511139.06728253304,500.62592290159944
290,3,20,92,0.0,0.0
291,3,20,93,0.0,0.0
292,3,20,94,78327.75429843341,110.3207807020189
293,3,20,95,0.0,0.0
294,3,20,96,0.0,0.0
295,3,20,97,11609.161579885395,223.25310730548836
296,3,20,98,9242.949750590447,440.1404643138308
297,3,20,99,0.0,0.0
298,3,30,1,3013.5047623891664,51.95697866188218
299,3,30,10,21042.175852350178,128.3059503192084
300,3,30,100,0.0,0.0
301,3,30,11,49636.17739079889,349.55054500562596
302,3,30,12,0.0,0.0
303,3,30,13,11696.186311246409,556.9612529164957
304,3,30,14,0.0,0.0
305,3,30,15,0.0,0.0
306,3,30,16,0.0,0.0
307,3,30,17,1508421.2212239045,250.52669344359816
308,3,30,18,23502.655987968687,301.316102409855
309,3,30,19,8693.783760070059,68.99828381007983
310,3,30,2,110781.49943452273,144.62336740799313
311,3,30,20,41210.37216892464,53.450547560213536
312,3,30,21,88891.3471307598,340.57987406421375
313,3,30,22,0.0,0.0
314,3,30,23,0.0,0.0
315,3,30,24,9242.949750590447,440.1404643138308
316,3,30,25,13526.182795655528,260.11889991645245
317,3,30,26,65209.85852103847,106.5520564069256
318,3,30,27,0.0,0.0
319,3,30,28,33585.8774709996,91.76469254371476
320,3,30,29,80224.09808893323,76.40390294184117
321,3,30,3,228673.41071623404,179.91613746359877
322,3,30,30,4375.130192368298,44.6441856364112
323,3,30,31,250976.42797573155,633.7788585245746
324,3,30,32,272001.0657962031,266.40652869363674
325,3,30,33,0.0,0.0
326,3,30,34,84825.09729775401,277.20620031945754
327,3,30,35,0.0,0.0
328,3,30,36,0.0,0.0
329,3,30,37,332714.75064662506,261.77399736162477
330,3,30,38,0.0,0.0
331,3,30,39,166536.29133274194,234.5581568066788
332,3,30,4,0.0,0.0
333,3,30,40,39020.192413863566,31.166287870498056
334,3,30,41,0.0,0.0
335,3,30,42,0.0,0.0
336,3,30,43,881360.3271168475,146.3810541632366
337,3,30,44,2644.0474792785008,125.90702282278575
338,3,30,45,0.0,0.0
339,3,30,46,81794.19406588486,517.6847725688915
340,3,30,47,0.0,0.0
341,3,30,48,0.0,0.0
342,3,30,49,81794.19406588486,517.6847725688915
343,3,30,5,58316.07210799102,55.53911629332478
344,3,30,50,9153.82678210686,435.89651343366
345,3,30,51,753545.6313423403,592.8761851631316
346,3,30,52,0.0,0.0
