,strategy,rate,iteration,total_correctness,avg_correctness
85,1,10,1,19926.697353201063,9963.348676600532
86,1,100,99,61886.30793888412,6188.630793888412
87,1,10,100,8863.449459041312,8863.449459041312
88,1,100,96,124962.25107268622,2840.051160742869
89,1,10,12,0.0,0.0
90,1,100,84,788131.4979830264,4306.729497175008
91,1,10,15,4954.785497793337,4954.785497793337
92,1,10,13,178720.9108975679,10512.994758680465
93,1,10,10,328846.23302506265,8653.848237501648
94,1,10,17,0.0,0.0
95,1,10,18,0.0,0.0
96,1,100,97,447478.51786323724,5457.055095893137
97,1,100,98,199051.76396076183,2970.921850160624
98,1,10,16,35869.741445660315,5124.248777951473
99,1,100,93,574632.1042599411,5130.643788035189
100,1,10,19,0.0,0.0
101,1,10,14,151995.84575911472,4749.870179972335
102,1,10,20,0.0,0.0
103,1,10,21,1282.0398604382615,1282.0398604382615
104,1,10,2,43129.729981816534,6161.389997402362
105,1,10,23,0.0,0.0
106,1,10,24,3454.5176981498944,1727.2588490749472
107,1,10,22,91872.88323778624,5104.049068765902
108,1,10,27,61574.368739529,8796.338391361287
109,1,10,3,5146.920269501438,5146.920269501438
110,1,10,28,53468.74781482248,6683.59347685281
111,1,10,25,133900.72312306307,6376.224910622051
112,1,10,11,297867.6708175734,3770.476845792068
113,1,10,29,65467.77381896493,5035.982601458841
114,1,10,26,136893.4917466605,5475.73966986642
115,1,10,32,13935.3198251769,4645.106608392301
116,1,10,33,0.0,0.0
117,1,10,30,35042.95308819333,8760.738272048333
118,1,10,35,4453.271703978658,4453.271703978658
119,1,10,37,0.0,0.0
120,1,10,38,17659.419188670905,8829.709594335452
121,1,10,36,31472.36936505273,3496.9299294503035
122,1,10,39,7192.005481659774,1438.4010963319547
123,1,10,40,0.0,0.0
124,1,10,42,20204.005805499448,5051.001451374862
125,1,10,31,187820.574514753,4580.989622311049
126,1,10,45,4602.129594977622,4602.129594977622
127,1,100,78,2185103.903386427,5705.232123724352
128,1,10,48,0.0,0.0
129,1,10,47,13797.473104150733,2759.4946208301467
130,1,10,49,0.0,0.0
131,1,10,46,111805.18458757551,5884.48339934608
132,1,10,41,207200.83622535903,5600.022600685379
133,1,10,50,7103.372106469013,3551.6860532345063
134,1,10,34,93796.70920632631,1379.3633706812693
135,1,10,5,44301.47550825769,4922.386167584187
136,1,100,79,695427.0376720496,1492.3326988670592
137,1,10,53,0.0,0.0
138,1,10,51,60862.852602666884,6762.539178074098
139,1,10,54,3564.4388711912457,3564.4388711912457
140,1,10,55,0.0,0.0
141,1,10,56,0.0,0.0
142,1,10,57,14625.955952907305,4875.318650969101
143,1,10,58,0.0,0.0
144,1,10,44,296095.731200076,4934.9288533346
145,1,10,60,9718.149943923707,4859.074971961853
146,1,10,52,202873.43976402225,7245.479991572223
147,1,10,63,0.0,0.0
148,1,10,61,86952.22714718971,6210.873367656408
149,1,10,65,4164.9210334534255,4164.9210334534255
150,1,10,64,17085.929702536116,1898.436633615124
151,1,10,68,15760.64606972721,5253.54868990907
152,1,10,69,1723.1646014683947,1723.1646014683947
153,1,10,59,180392.0466479663,4747.159122314903
154,1,10,67,65461.95290138728,4675.85377867052
155,1,10,72,8604.023068274933,4302.011534137467
156,1,10,74,10215.896720589028,10215.896720589028
157,1,10,7,271495.0256566307,7985.147813430314
158,1,10,43,746914.3109093711,6023.502507333638
159,1,10,75,0.0,0.0
160,1,10,62,480889.23948986206,7286.200598331243
161,1,10,77,0.0,0.0
162,1,10,76,45668.86463495652,6524.123519279502
163,1,10,70,257167.20891502427,5471.642742872857
164,1,10,79,0.0,0.0
165,1,10,8,11460.759453414159,11460.759453414159
166,1,10,81,0.0,0.0
167,1,10,83,0.0,0.0
168,1,100,74,2561002.355682226,4033.074575877521
169,1,10,80,65844.0878735393,3873.1816396199592
170,1,10,78,118368.54141665864,5918.427070832932
171,1,10,84,9910.5969515837,4955.29847579185
172,1,10,85,0.0,0.0
173,1,10,66,916512.7703663901,8646.346890248964
174,1,10,71,394516.47048114333,5635.9495783020475
175,1,10,87,0.0,0.0
176,1,100,73,2596121.0423757033,4088.379594292446
177,1,10,9,0.0,0.0
178,1,10,86,34633.31467757668,3463.331467757668
179,1,10,91,0.0,0.0
180,1,10,88,48542.103680764776,5393.567075640531
181,1,10,94,0.0,0.0
182,1,10,92,11480.114284198366,11480.114284198366
183,1,10,90,45358.545447660945,4123.50413160554
184,1,10,98,0.0,0.0
185,1,10,89,128204.12905109498,4420.832036244655
186,1,10,73,753050.5939926342,7240.871096083021
187,1,10,95,56151.966733777495,3743.4644489185
188,1,100,85,4384202.654163425,8350.862198406523
189,1,10,99,6411.587994181067,6411.587994181067
190,1,20,100,0.0,0.0
191,1,20,11,0.0,0.0
192,1,10,97,144238.99425715843,7211.949712857921
193,1,10,93,57694.80268235088,1442.3700670587718
194,1,20,16,0.0,0.0
195,1,20,17,14880.746135103129,7440.373067551564
196,1,20,13,58670.332511294044,5867.033251129405
197,1,20,12,142988.18142648874,7525.693759288881
198,1,20,2,7440.373067551561,7440.373067551561
199,1,20,10,254516.0864029778,7953.627700093056
200,1,10,6,1502939.178321054,8037.107905460181
201,1,10,4,1359958.5618617998,4999.847653903676
202,1,20,24,5202.693153050476,5202.693153050476
203,1,20,19,148834.27355746005,7441.713677873003
204,1,20,18,70210.21496662796,1493.8343609920842
205,1,20,20,210397.10347190473,6787.003337803379
206,1,20,15,318630.9157942006,5493.636479210355
207,1,20,26,49746.61378378377,3316.4409189189178
208,1,20,23,227650.65354466453,5420.253655825346
209,1,20,32,6147.771187700525,6147.771187700525
210,1,10,82,974215.5745907233,6409.312990728443
211,1,20,29,129373.17884993977,4620.470673212135
212,1,20,30,139947.49924597703,5382.59612484527
213,1,20,33,133250.27272568003,4935.195286136297
214,1,20,37,15507.135092455706,1938.3918865569633
